date,channel_id,category_id,supplier_id,status,revenue,cost,commission,count
1/1/2020,1,1,1,0,98845,99048,2970,3
1/1/2020,1,2,1,1,879565,879563,26387,2
1/1/2020,1,3,2,1,322580,322227,0,1
1/1/2020,1,4,3,1,1945450,1830540,0,7592
1/1/2020,1,4,3,0,310835,296239,3110,200
1/1/2020,1,5,4,1,478455,243509,0,27
1/1/2020,1,6,3,0,1971805,1951451,0,33
1/1/2020,1,7,5,1,1435105,1385945,28702,17
1/1/2020,1,7,5,0,365630,366020,3656,4
1/1/2020,1,8,1,0,420370,417390,0,2
1/1/2020,1,4,6,0,1401300,1405927,0,3
1/1/2020,1,6,7,0,429905,429939,0,3
1/1/2020,1,9,8,1,1722845,1715055,0,4
1/1/2020,1,10,9,0,1778190,1775710,0,1
1/1/2020,1,11,10,1,873395,875745,17468,2
1/1/2020,1,12,11,1,1408925,1417325,42270,6
1/1/2020,1,5,12,1,610030,607254,12201,4
1/1/2020,1,13,4,1,1188725,1187175,11890,2
1/1/2020,1,4,1,0,1611945,1478879,32239,114
1/1/2020,1,10,9,1,295890,93160,5920,106
1/1/2020,1,8,7,0,1395470,1409100,0,31
1/1/2020,1,4,6,1,1937625,2117535,0,827
1/1/2020,1,14,13,1,1593985,1587055,0,30
1/1/2020,1,5,14,1,1640390,1616898,0,32
1/1/2020,1,1,9,1,73075,-9205,1462,160
1/1/2020,1,4,1,1,1336025,1336025,13360,3
1/1/2020,1,15,15,1,1739960,1731760,34799,8
1/1/2020,1,16,16,1,1846235,1809275,18462,11
1/1/2020,1,8,6,1,1593265,1439265,0,137
1/1/2020,1,9,17,1,792235,789355,0,11
1/1/2020,1,4,7,1,229915,230655,0,255
1/1/2020,1,8,3,1,1087535,944783,10880,395
1/1/2020,1,17,18,0,659220,659220,13184,1
1/1/2020,1,8,3,0,198300,73470,0,186
1/1/2020,1,1,3,1,546755,737939,0,1384
1/1/2020,1,18,4,1,836340,836340,0,18
1/1/2020,1,4,7,0,262595,223735,0,140
1/1/2020,1,17,18,1,757005,757005,0,688
1/1/2020,1,8,7,1,587450,207713,11750,876
1/1/2020,1,19,19,1,1291335,1309255,25830,60
1/1/2020,1,6,3,1,1190095,934065,0,852
1/1/2020,1,9,20,1,1232475,1230625,36970,32
1/1/2020,1,20,20,1,60405,69251,1810,3
